[HEADER]
insulated box
parallel heaters: 1x 5W, 1x 10W
K_p=3.5
K_i=0.005


[DATA]
time	temperature	humidity	heater power
[s]	[±0.5 °C]	[±3 pct]	[±0.05 W]
0.0	22.09	56.1	5.340
1.0	22.09	56.1	5.340
2.0	22.09	56.1	5.344
3.0	22.09	56.1	5.340
4.0	22.09	56.2	5.340
5.0	22.09	56.2	5.340
6.0	22.09	56.2	5.344
7.0	22.09	56.2	5.340
8.0	22.09	56.2	5.344
9.0	22.10	56.2	5.344
10.0	22.10	56.3	5.340
11.0	22.10	56.3	5.340
12.0	22.10	56.3	5.340
13.0	22.10	56.3	5.340
14.0	22.10	56.4	5.340
15.0	22.11	56.4	5.340
16.0	22.11	56.3	5.340
17.0	22.11	56.3	5.340
18.0	22.11	56.4	5.340
19.0	22.11	56.4	5.340
20.0	22.11	56.5	5.344
21.0	22.11	56.5	5.340
22.0	22.12	56.6	5.340
23.0	22.12	56.6	5.340
24.1	22.13	56.6	5.340
25.1	22.13	56.6	5.340
26.1	22.13	56.6	5.340
27.1	22.14	56.6	5.340
28.1	22.14	56.7	5.340
29.1	22.14	56.7	5.340
30.1	22.15	56.8	5.340
31.1	22.16	56.8	5.344
32.1	22.17	56.9	5.328
33.1	22.17	56.9	5.340
34.1	22.18	57.0	5.344
35.1	22.18	57.0	5.344
36.1	22.19	57.0	5.328
37.1	22.20	57.0	5.328
38.1	22.20	57.1	5.328
39.1	22.21	57.1	5.340
40.1	22.22	57.2	5.328
41.1	22.23	57.2	5.332
42.1	22.23	57.3	5.340
43.1	22.24	57.3	5.328
44.1	22.25	57.4	5.328
45.1	22.26	57.4	5.332
46.1	22.27	57.5	5.340
47.1	22.27	57.5	5.328
48.1	22.28	57.6	5.328
49.1	22.29	57.6	5.328
50.1	22.30	57.6	5.328
51.1	22.30	57.6	5.328
52.1	22.31	57.7	5.328
53.1	22.32	57.7	5.328
54.1	22.33	57.8	5.328
55.1	22.34	57.8	5.328
56.1	22.35	57.9	5.328
57.1	22.36	57.9	5.328
58.1	22.36	58.0	5.328
59.1	22.37	58.0	5.328
60.1	22.38	58.1	5.328
61.1	22.39	58.1	5.328
62.1	22.40	58.2	5.328
63.1	22.41	58.2	5.328
64.1	22.42	58.2	5.328
65.1	22.43	58.2	5.328
66.1	22.44	58.4	5.328
67.1	22.46	58.4	5.332
68.2	22.47	58.4	5.328
69.1	22.48	58.4	5.328
70.2	22.49	58.5	5.332
71.2	22.50	58.5	5.328
72.2	22.52	58.7	5.328
73.2	22.53	58.7	5.328
74.2	22.55	58.7	5.328
75.2	22.56	58.7	5.328
76.2	22.57	58.8	5.328
77.2	22.58	58.8	5.328
78.2	22.59	58.8	5.328
79.2	22.60	58.8	5.332
80.2	22.62	59.0	5.328
81.2	22.63	59.0	5.328
82.2	22.64	59.1	5.328
83.2	22.66	59.1	5.332
84.2	22.67	59.1	5.328
85.2	22.68	59.1	5.328
86.2	22.69	59.2	5.328
87.2	22.70	59.2	5.332
88.2	22.72	59.3	5.328
89.2	22.73	59.3	5.328
90.2	22.75	59.4	5.332
91.2	22.76	59.4	5.328
92.2	22.77	59.4	5.328
93.2	22.78	59.4	5.328
94.2	22.79	59.5	5.328
95.2	22.80	59.5	5.332
96.2	22.82	59.6	5.328
97.2	22.83	59.6	5.332
98.2	22.84	59.7	5.328
99.2	22.86	59.7	5.328
100.2	22.88	59.8	5.328
101.2	22.89	59.8	5.328
102.2	22.91	59.9	5.332
103.2	22.92	59.9	5.328
104.2	22.93	59.9	5.328
105.2	22.95	59.9	5.332
106.2	22.96	60.0	5.328
107.2	22.97	60.0	5.328
108.2	22.99	60.1	5.328
109.2	23.00	60.1	5.332
110.2	23.02	60.2	5.328
111.2	23.03	60.2	5.328
112.3	23.05	60.3	5.328
113.2	23.06	60.3	5.332
114.3	23.08	60.4	5.332
115.3	23.09	60.4	5.328
116.3	23.11	60.5	5.328
117.3	23.12	60.5	5.332
118.3	23.14	60.5	5.316
119.3	23.15	60.5	5.328
120.3	23.17	60.6	5.328
121.3	23.18	60.6	5.328
122.3	23.20	60.7	5.332
123.3	23.21	60.7	5.328
124.3	23.23	60.8	5.328
125.3	23.24	60.8	5.332
126.3	23.26	60.9	5.332
127.3	23.28	60.9	5.328
128.3	23.29	60.9	5.332
129.3	23.31	60.9	5.328
130.3	23.32	61.0	5.316
131.3	23.34	61.0	5.316
132.3	23.35	61.0	5.328
133.3	23.36	61.0	5.328
134.3	23.38	61.2	5.328
135.3	23.40	61.2	5.328
136.3	23.41	61.2	5.328
137.3	23.43	61.2	5.320
138.3	23.44	61.3	5.316
139.3	23.45	61.3	5.316
140.3	23.47	61.4	5.320
141.3	23.49	61.4	5.320
142.3	23.50	61.4	5.316
143.3	23.51	61.4	5.316
144.3	23.52	61.5	5.328
145.3	23.54	61.5	5.328
146.3	23.55	61.6	5.316
147.3	23.56	61.6	5.332
148.3	23.58	61.7	5.316
149.3	23.59	61.7	5.316
150.3	23.61	61.7	5.332
151.3	23.62	61.7	5.328
152.3	23.64	61.8	5.320
153.3	23.66	61.8	5.316
154.3	23.67	61.8	5.316
155.3	23.68	61.8	5.316
156.3	23.70	61.9	5.328
157.3	23.71	61.9	5.316
158.4	23.73	62.0	5.332
159.4	23.74	62.0	5.328
160.4	23.76	62.0	5.316
161.4	23.77	62.0	5.316
162.4	23.78	62.1	5.328
163.4	23.80	62.1	5.316
164.4	23.82	62.2	5.320
165.4	23.83	62.2	5.320
166.4	23.84	62.3	5.316
167.4	23.86	62.3	5.320
168.4	23.87	62.3	5.320
169.4	23.88	62.3	5.316
170.4	23.90	62.3	5.316
171.4	23.91	62.3	5.320
172.4	23.93	62.4	5.316
173.4	23.94	62.4	5.316
174.4	23.95	62.4	5.320
175.4	23.96	62.4	5.316
176.4	23.98	62.5	5.316
177.4	24.00	62.5	5.320
178.4	24.01	62.5	5.316
179.4	24.03	62.5	5.316
180.4	24.04	62.6	5.316
181.4	24.05	62.6	5.316
182.4	24.07	62.6	5.316
183.4	24.08	62.6	5.316
184.4	24.09	62.7	5.316
185.4	24.11	62.7	5.316
186.4	24.12	62.8	5.316
187.4	24.14	62.8	5.316
188.4	24.15	62.8	5.316
189.4	24.16	62.8	5.316
190.4	24.18	62.8	5.316
191.4	24.19	62.8	5.316
192.4	24.20	62.9	5.316
193.4	24.22	62.9	5.316
194.4	24.23	62.9	5.320
195.4	24.24	62.9	5.316
196.4	24.26	63.0	5.316
197.4	24.28	63.0	5.316
198.4	24.30	63.1	5.320
199.4	24.31	63.1	5.316
200.4	24.32	63.1	5.316
201.4	24.34	63.1	5.316
