[HEADER]
Insulated box
Parallel heaters, 1x 5W, 1x 10W
K_p=2.5
K_i=5e-4

[DATA]
time	temperature	humidity	heater power
[s]	[±0.5 °C]	[±3 pct]	[±0.05 W]
0.0	25.58	48.4	5.340
1.0	25.58	48.3	5.340
2.0	25.57	48.3	5.340
3.0	25.57	48.3	5.340
4.0	25.57	48.3	5.344
5.0	25.57	48.3	5.340
6.0	25.57	48.3	5.344
7.0	25.57	48.3	5.340
8.0	25.57	48.3	5.344
9.0	25.57	48.2	5.344
10.0	25.58	48.2	5.344
11.0	25.57	48.1	5.340
12.0	25.57	48.1	5.328
13.0	25.57	48.2	5.328
14.0	25.57	48.2	5.340
15.0	25.57	48.2	5.328
16.0	25.57	48.2	5.344
17.0	25.58	48.2	5.332
18.0	25.58	48.2	5.332
19.0	25.58	48.3	5.328
20.0	25.59	48.3	5.328
21.0	25.59	48.2	5.328
22.0	25.60	48.2	5.332
23.1	25.61	48.3	5.332
24.0	25.61	48.3	5.332
25.1	25.61	48.3	5.332
26.1	25.62	48.3	5.328
27.1	25.62	48.3	5.332
28.1	25.63	48.3	5.332
29.1	25.63	48.3	5.332
30.1	25.63	48.3	5.328
31.1	25.64	48.3	5.332
32.1	25.65	48.3	5.328
33.1	25.66	48.4	5.328
34.1	25.67	48.4	5.332
35.1	25.69	48.4	5.328
36.1	25.70	48.4	5.328
37.1	25.71	48.5	5.332
38.1	25.73	48.5	5.328
39.1	25.74	48.5	5.332
40.1	25.75	48.5	5.328
41.1	25.77	48.5	5.332
42.1	25.78	48.5	5.328
43.1	25.79	48.5	5.332
44.1	25.81	48.5	5.328
45.1	25.82	48.6	5.332
46.1	25.84	48.6	5.328
47.1	25.86	48.6	5.328
48.1	25.87	48.6	5.328
49.1	25.89	48.7	5.328
50.1	25.91	48.7	5.328
51.1	25.93	48.7	5.332
52.1	25.94	48.7	5.328
53.1	25.96	48.7	5.332
54.1	25.98	48.7	5.332
55.1	26.00	48.8	5.332
56.1	26.02	48.8	5.328
57.1	26.04	48.8	5.328
58.1	26.05	48.8	5.332
59.1	26.08	48.9	5.332
60.1	26.10	48.9	5.328
61.1	26.12	48.9	5.332
62.1	26.14	48.9	5.328
63.1	26.16	49.0	5.332
64.1	26.18	49.0	5.328
65.1	26.20	49.0	5.332
66.1	26.22	49.0	5.332
67.1	26.25	49.0	5.320
68.1	26.27	49.0	5.320
69.1	26.30	49.1	5.316
70.1	26.32	49.1	5.332
71.1	26.35	49.1	5.316
72.1	26.37	49.1	5.332
73.2	26.39	49.1	5.328
74.2	26.41	49.1	5.320
75.2	26.43	49.2	5.316
76.2	26.46	49.2	5.316
77.2	26.48	49.2	5.328
78.2	26.50	49.2	5.316
79.2	26.53	49.2	5.320
80.2	26.55	49.2	5.320
81.2	26.58	49.3	5.332
82.2	26.60	49.3	5.320
83.2	26.63	49.3	5.320
84.2	26.65	49.3	5.316
85.2	26.68	49.4	5.316
86.2	26.70	49.4	5.320
87.2	26.73	49.4	5.320
88.2	26.75	49.4	5.320
89.2	26.78	49.5	5.316
90.2	26.81	49.5	5.320
91.2	26.84	49.5	5.320
92.2	26.86	49.5	5.316
93.2	26.89	49.5	5.316
94.2	26.92	49.5	5.316
95.2	26.94	49.5	5.316
96.2	26.96	49.5	5.320
97.2	26.99	49.5	5.316
98.2	27.02	49.5	5.320
99.2	27.05	49.6	5.316
100.2	27.07	49.6	5.320
101.2	27.10	49.6	5.316
102.2	27.12	49.6	5.316
103.2	27.15	49.7	5.316
104.2	27.18	49.7	5.320
105.2	27.21	49.7	5.320
106.2	27.23	49.7	5.316
107.2	27.26	49.7	5.316
108.2	27.29	49.7	5.316
109.2	27.31	49.7	5.316
110.2	27.34	49.7	5.320
111.2	27.36	49.8	5.320
112.2	27.39	49.8	5.316
113.2	27.42	49.8	5.320
114.2	27.44	49.8	5.320
115.2	27.47	49.8	5.316
116.2	27.50	49.8	5.320
117.2	27.53	49.9	5.316
118.2	27.55	49.9	5.320
119.2	27.58	49.9	5.320
120.2	27.61	49.9	5.320
121.3	27.64	50.0	5.320
122.2	27.67	50.0	5.320
123.3	27.69	49.9	5.320
124.3	27.72	49.9	5.320
125.3	27.75	50.0	5.320
126.3	27.77	50.0	5.320
127.3	27.80	50.0	5.320
128.3	27.83	50.0	5.320
129.3	27.85	50.0	5.316
130.3	27.88	50.0	5.316
131.3	27.91	50.0	5.320
132.3	27.93	50.0	5.316
133.3	27.96	50.0	5.320
134.3	27.98	50.0	5.316
135.3	28.00	50.0	5.320
136.3	28.03	50.0	5.316
137.3	28.05	50.0	5.316
138.3	28.07	50.0	5.316
139.3	28.10	50.1	5.316
140.3	28.13	50.1	5.320
141.3	28.15	50.1	5.320
142.3	28.17	50.1	5.316
143.3	28.20	50.1	5.320
144.3	28.22	50.1	5.320
145.3	28.25	50.2	5.316
146.3	28.28	50.2	5.316
147.3	28.31	50.2	5.316
148.3	28.33	50.2	5.316
149.3	28.35	50.2	5.316
150.3	28.38	50.2	5.316
151.3	28.40	50.2	5.316
152.3	28.43	50.2	5.320
153.3	28.46	50.3	5.320
154.3	28.48	50.3	5.320
155.3	28.51	50.2	5.320
156.3	28.53	50.2	5.320
157.3	28.56	50.2	5.320
158.3	28.58	50.2	5.320
159.3	28.61	50.3	5.316
160.3	28.63	50.3	5.316
161.3	28.66	50.3	5.320
162.3	28.68	50.3	5.320
163.3	28.71	50.3	5.316
164.3	28.74	50.3	5.316
165.3	28.76	50.3	5.316
166.3	28.78	50.3	5.316
167.3	28.81	50.4	5.316
168.3	28.83	50.4	5.316
169.4	28.86	50.4	5.316
170.3	28.89	50.4	5.316
171.4	28.91	50.4	5.320
172.4	28.94	50.4	5.320
173.4	28.96	50.4	5.316
174.4	28.98	50.4	5.320
175.4	29.00	50.4	5.316
176.4	29.02	50.4	5.316
177.4	29.05	50.4	5.320
178.4	29.07	50.4	5.316
179.4	29.10	50.5	5.320
180.4	29.12	50.5	5.320
181.4	29.14	50.5	5.320
182.4	29.17	50.5	5.304
183.4	29.19	50.5	5.316
184.4	29.21	50.5	5.320
185.4	29.23	50.5	5.316
186.4	29.26	50.5	5.304
187.4	29.28	50.5	5.320
188.4	29.30	50.5	5.320
189.4	29.33	50.6	5.316
190.4	29.35	50.6	5.308
191.4	29.37	50.6	5.304
192.4	29.39	50.6	5.320
193.4	29.41	50.6	5.304
194.4	29.43	50.6	5.320
195.4	29.46	50.6	5.304
196.4	29.48	50.6	5.316
197.4	29.50	50.6	5.316
198.4	29.52	50.6	5.304
199.4	29.54	50.6	5.308
200.4	29.57	50.6	5.308
201.4	29.59	50.6	5.316
202.4	29.61	50.6	5.304
203.4	29.63	50.6	5.304
204.4	29.66	50.6	5.304
205.4	29.68	50.6	5.304
206.4	29.70	50.6	5.316
207.4	29.73	50.7	5.308
208.4	29.75	50.7	5.308
209.4	29.77	50.7	5.316
210.4	29.79	50.7	5.308
211.4	29.82	50.8	5.320
212.4	29.84	50.8	5.308
213.4	29.86	50.7	5.320
214.4	29.89	50.7	5.316
215.4	29.91	50.7	5.308
216.4	29.93	50.7	5.304
217.4	29.95	50.7	5.308
218.4	29.97	50.7	5.304
219.5	30.00	50.7	5.304
220.5	30.02	50.7	5.304
221.5	30.03	50.7	5.304
222.5	30.05	50.7	5.308
223.5	30.07	50.7	5.304
224.5	30.09	50.7	5.320
225.5	30.11	50.7	5.304
226.5	30.13	50.7	5.308
227.5	30.14	50.7	5.308
228.5	30.16	50.7	5.304
229.5	30.18	50.8	5.304
230.5	30.21	50.8	5.304
231.5	30.23	50.8	5.304
232.5	30.24	50.8	5.308
233.5	30.27	50.8	5.308
234.5	30.29	50.8	5.304
235.5	30.31	50.8	5.304
236.5	30.33	50.8	5.308
237.5	30.35	50.8	5.304
238.5	30.36	50.8	5.308
239.5	30.39	50.8	5.304
240.5	30.41	50.8	5.304
241.5	30.43	50.8	5.308
242.5	30.45	50.8	5.308
243.5	30.46	50.8	5.304
244.5	30.48	50.8	5.304
245.5	30.50	50.8	5.308
246.5	30.52	50.8	5.308
247.5	30.55	50.9	5.308
248.5	30.57	50.9	5.308
249.5	30.59	50.8	5.304
250.5	30.61	50.8	5.308
251.5	30.63	50.8	5.308
252.5	30.65	50.8	5.308
253.5	30.67	50.8	5.308
254.5	30.68	50.8	5.304
255.5	30.70	50.8	5.304
256.5	30.71	50.8	5.308
257.5	30.73	50.9	5.304
258.5	30.75	50.9	5.308
259.5	30.77	50.8	5.308
260.5	30.79	50.8	5.304
261.5	30.81	50.9	5.308
262.5	30.82	50.9	5.304
263.5	30.84	50.9	5.308
264.5	30.86	50.9	5.304
265.5	30.88	50.9	5.304
266.5	30.89	50.9	5.308
267.6	30.91	50.9	5.304
268.5	30.93	50.9	5.304
269.6	30.95	50.9	5.304
270.6	30.97	50.9	5.304
271.6	30.99	51.0	5.304
272.6	31.01	51.0	5.308
273.6	31.03	50.9	5.308
274.6	31.05	50.9	5.304
275.6	31.07	50.9	5.308
276.6	31.08	50.9	5.308
277.6	31.11	51.0	5.304
278.6	31.12	51.0	5.308
279.6	31.14	50.9	5.304
280.6	31.16	50.9	5.304
281.6	31.18	50.9	5.304
282.6	31.19	50.9	5.308
283.6	31.21	51.0	5.308
284.6	31.23	51.0	5.304
285.6	31.25	51.0	5.304
286.6	31.27	51.0	5.308
287.6	31.29	51.0	5.308
288.6	31.30	51.0	5.308
289.6	31.32	51.0	5.308
290.6	31.34	51.0	5.308
291.6	31.36	51.0	5.304
292.6	31.38	51.0	5.308
293.6	31.39	51.0	5.308
294.6	31.41	51.0	5.308
295.6	31.43	51.1	5.304
296.6	31.45	51.1	5.308
297.6	31.46	51.0	5.308
298.6	31.48	51.0	5.308
299.6	31.50	51.0	5.308
300.6	31.51	51.0	5.308
301.6	31.53	51.0	5.304
302.6	31.54	51.0	5.304
303.6	31.56	51.0	5.308
304.6	31.57	51.0	5.308
305.6	31.59	51.0	5.308
305.9	31.59	51.0	5.304
306.9	31.61	51.0	5.304
307.9	31.62	51.0	5.304
308.9	31.64	51.0	5.308
